n,pv_share,scale_mode,lam,base_ok,v_min_base,tpf_conv,k_out,k_in,eps_med,q_max,v_min,v_max,nr_conv
40,0.1,load_pv,10.169230769230769,True,0.6953176822994828,True,9.0,61.0,4.503425477518325e-05,0.07913498483062323,0.7004894244997232,0.995331776384301,True
40,0.1,load_pv,10.723076923076922,True,0.6676637359683223,True,10.0,79.0,6.225915097452122e-05,0.0787302701500788,0.6728607132353985,0.9947768511424958,True
40,0.1,pv_only,0.2,True,0.9715483040237699,True,3.0,10.0,0.0013742301619212507,0.08566888930339107,0.9765568627866128,1.0038462803452088,True
40,0.1,pv_only,0.7538461538461538,True,0.9758015521623673,True,3.0,10.0,0.0013659186816795865,0.08568339087524288,0.9808100305973616,1.004014775523233,True
40,0.1,pv_only,1.3076923076923077,True,0.9800054552043045,True,3.0,9.0,0.0013574120711099798,0.08569783526506229,0.9850138623412054,1.0041831831791097,True
40,0.1,pv_only,1.8615384615384616,True,0.9841614118247509,True,3.0,9.0,0.0013491014899782812,0.08571230319131735,0.9891697472181004,1.0043515080553067,True
40,0.1,pv_only,2.4153846153846157,True,0.9880595516722028,True,3.0,9.0,0.0013409833521564225,0.08572675411805547,0.9930792165784611,1.0045197479188417,True
40,0.1,pv_only,2.9692307692307693,True,0.9907757570108969,True,3.0,9.0,0.0013330505418117215,0.08574118806857312,0.9957953270193596,1.0046879028698628,True
40,0.1,pv_only,3.5230769230769234,True,0.9934608810326866,True,3.0,8.0,0.0013253055286108109,0.08575560506036052,0.9984803748930535,1.0048559730079798,True
40,0.1,pv_only,4.0769230769230775,True,0.9961157061856409,True,3.0,10.0,0.0013177122386574063,0.08577004503418124,1.0007674967779867,1.0080653672001363,True
40,0.1,pv_only,4.630769230769231,True,0.9973624632509261,True,3.0,10.0,0.0013102950294944893,0.08578442839736612,1.0012572870110938,1.01232192582369,True
40,0.1,pv_only,5.184615384615385,True,0.9975307568595206,True,3.0,10.0,0.0013030373430343001,0.08579879496558734,1.001740930102816,1.0165350129407829,True
40,0.1,pv_only,5.7384615384615385,True,0.9976989656517274,True,3.0,11.0,0.0012959877874648444,0.0858131447617139,1.0022185544336555,1.0207057143123957,True
40,0.1,pv_only,6.292307692307693,True,0.9978670897270818,True,3.0,11.0,0.0012892567541411993,0.08582747780850633,1.0026902831497568,1.0248350698715258,True
40,0.1,pv_only,6.846153846153847,True,0.9980351291849171,True,3.0,11.0,0.0012827160941413006,0.08584179412872323,1.003049061045067,1.0289240767279622,True
40,0.1,pv_only,7.4,True,0.9982030841243646,True,3.0,11.0,0.0012764633144850053,0.0858560937450661,1.0032170113362666,1.0329736914136125,True
40,0.1,pv_only,7.953846153846155,True,0.9983709546443547,True,3.0,11.0,0.0012703766157188153,0.08587037668016215,1.0033848772178668,1.0369848321587674,True
40,0.1,pv_only,8.507692307692308,True,0.9985387408436162,True,3.0,11.0,0.001264450303847016,0.08588464295661387,1.0035526587885797,1.040958381009916,True
40,0.1,pv_only,9.061538461538461,True,0.9987064428206786,True,3.0,11.0,0.0012586789835135658,0.08589889259696662,1.0037203561469166,1.0448951857871884,True
