n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min,kappa,kappa_n
350,0.2,1.0,1.547823266854434e-05,0.0010834762867981,True,6,3,4.297795010220312,0.0053423258241146,0.9998468299036656,0.0066153860765769,0.0053310471459415,0.0066022257800263,0.0052768085631546,0.99413304731388,6598.369592122655,0.02639911683669436,7.542604810484103e-05
350,0.4769230769230769,1.0,1.547823266854434e-05,0.0025836742223647,True,7,4,5.3415743823115225,0.012623388210061,0.999892519782357,0.0160396274134797,0.0128974939108379,0.0159626767613971,0.0125831588813687,0.9859028937097314,2767.058216051436,0.02572739911089098,7.350685460254566e-05
350,0.7538461538461538,1.0,1.547823266854434e-05,0.0040838721579313,True,8,4,6.141293821796123,0.0207080890287789,0.9998978789250412,0.025788411766353,0.020690281879357,0.0255905879874644,0.0198895091995828,0.977543684545808,1750.5878509713166,0.02625002060431401,7.50000588694686e-05
350,1.0307692307692309,1.0,1.547823266854434e-05,0.0055840700934979,True,8,4,6.777443064019728,0.0284585603420061,0.9999197750058224,0.0358826013085578,0.0287231622556941,0.0355017668872633,0.0271958595177969,0.9690493036100324,1280.2806671282765,0.025926460332195318,7.407560094912949e-05
350,1.3076923076923077,1.0,1.547823266854434e-05,0.0070842680290645,True,9,5,7.368587373962262,0.03666604288175,0.9999065089981976,0.0463450771353817,0.0370111731694842,0.0457134740605578,0.0345022098360111,0.9604131338173232,1009.1624082069944,0.025862747150046786,7.389356328584796e-05
350,1.5846153846153843,1.0,1.547823266854434e-05,0.0085844659646311,True,9,5,7.949693387164804,0.0455807864034053,0.9999160668028236,0.0572010060860653,0.0455708059771831,0.0562446087365192,0.0418085601542252,0.9516279977512172,832.8039291028593,0.026049078678543804,7.442593908155372e-05
350,1.8615384615384616,1.0,1.547823266854434e-05,0.0100846639001977,True,10,5,8.488894918700145,0.0544242973984708,0.999904833795004,0.0684781530601257,0.0544201994604379,0.0671159250587696,0.0491149104724393,0.9426860888027774,708.9157413024341,0.025980949213792272,7.423128346797792e-05
350,2.138461538461539,1.0,1.547823266854434e-05,0.0115848618357643,True,11,5,8.99941897731156,0.0632227561045609,0.9999209032765,0.0802072484719792,0.0635793677621026,0.0783502856054526,0.0564212607906534,0.9335788910233656,617.1137028603921,0.02576760340504844,7.362172401442412e-05
350,2.415384615384616,1.0,1.547823266854434e-05,0.0130850597713309,True,11,6,9.522230808210194,0.0726459258219301,0.9999116270378458,0.0924224229654002,0.0730704693863737,0.0899729601742514,0.0637276111088675,0.9242970853417738,546.3618133604746,0.025694971140543223,7.341420325869492e-05
350,2.6923076923076925,1.0,1.547823266854434e-05,0.0145852577068975,True,12,6,10.069012867861934,0.0828747608621968,0.9999192619276552,0.1051617247431632,0.0829181265252113,0.1020119799721658,0.0710339614270816,0.9148304391983456,490.1645982719687,0.025761954517611922,7.360558433603407e-05
350,2.9692307692307693,1.0,1.547823266854434e-05,0.0160854556424641,True,12,6,10.602138671162669,0.0930785055474095,0.9999102378453272,0.1184677391292705,0.0931498065196181,0.1144985601224783,0.0783403117452958,0.9051676758628384,444.4497652725104,0.02568405093907353,7.338300268306723e-05
