n,pv_share,setpoint_mode,lam,ell,k_in,err,v_min,q_max,tol_eff,dq_max,eps_med,eps_max,eps_cf_med
40,0.1,calibrated,8.23076923076923,7,6,1.7794960247674574e-05,0.6705477934420083,0.08034451619433909,1e-06,3.4618072549425085e-05,3.952528289628994e-06,1.1657789552640245e-05,1.9098552361423913e-05
40,0.1,calibrated,8.23076923076923,8,4,5.185806981389263e-06,0.6705247057066833,0.08034451619433909,1e-06,1.094348931224753e-05,1.1475433990090385e-06,3.6854047546087405e-06,5.694975548011105e-06
40,0.1,calibrated,8.23076923076923,9,2,3.198372687807094e-07,0.6705298046708569,0.08034451619433909,1e-06,0.0,,,
40,0.1,calibrated,8.507692307692308,1,16,0.010775978668944752,0.6589497412707593,0.0,1e-06,0.08019667723598209,0.007139690084114693,0.009885522148805836,0.008341640678225876
40,0.1,calibrated,8.507692307692308,2,12,0.004615479350348672,0.6444750637310654,0.08019667723598209,1e-06,0.006205000445655442,0.0012567349950819364,0.003022685757886524,0.00475553893328634
40,0.1,calibrated,8.507692307692308,3,12,0.0020453615754177923,0.6511458775138196,0.08013632879287645,1e-06,0.0034687026165797887,0.0005627041757382672,0.00119503348602611,0.002163899356332524
40,0.1,calibrated,8.507692307692308,4,10,0.0008814201877443972,0.6482091671046433,0.08013608839075125,1e-06,0.0015381371091927145,0.00023231186159306652,0.0005322621822825434,0.0009413421940429668
40,0.1,calibrated,8.507692307692308,5,10,0.0003797144516338724,0.6494746658339313,0.08013608743394447,1e-06,0.0006674651854269751,9.8773691799982e-05,0.00023052835834621108,0.00040520561562062507
40,0.1,calibrated,8.507692307692308,6,8,0.0001622913315630914,0.6489307686405986,0.08013608743013455,1e-06,0.00028621497818566227,4.198657075307703e-05,9.89345099771035e-05,0.00017348816929378728
40,0.1,calibrated,8.507692307692308,7,8,6.855755043977396e-05,0.6491624410132312,0.08013608743012027,1e-06,0.00012186122817835855,1.748302636396398e-05,4.21082717334256e-05,7.340806026750724e-05
