n,pv_share,lam,q_init_mode,conv,k_out,k_in,eps_med,q_max,t_ms
40,0.1,9.061538461538461,continuation,True,15,143,3.805865817908982e-05,0.07971836420440513,2.1967000793665648
40,0.1,9.338461538461539,cold_q0,False,60,1383,0.0066011751792210025,0.07950906412543368,18.642299924977124
40,0.1,9.338461538461539,continuation,False,60,987,0.0005101616791651765,0.07950906412543267,13.775500003248453
40,0.25,0.2,cold_q0,True,3,8,3.61416659813293e-05,0.08627099400344652,0.5605999613180757
40,0.25,0.2,continuation,True,3,8,3.61416659813293e-05,0.08627099400344652,0.3173999721184373
40,0.25,0.47692307692307695,cold_q0,True,3,8,9.234313257200266e-05,0.0860920331327185,0.29610004276037216
40,0.25,0.47692307692307695,continuation,True,3,8,3.349838386184594e-05,0.0860960325198718,0.3106999211013317
40,0.25,0.7538461538461538,cold_q0,True,3,9,0.00015050019255881205,0.08591294705204994,0.2677000593394041
40,0.25,0.7538461538461538,continuation,True,3,9,3.3927041429764264e-05,0.08591675055498695,0.25859999004751444
40,0.25,1.0307692307692309,cold_q0,True,3,10,0.00021019744332980849,0.0857337735998575,0.25379995349794626
40,0.25,1.0307692307692309,continuation,True,3,9,3.4390527760654624e-05,0.08573734987815405,0.25320006534457207
40,0.25,1.3076923076923077,cold_q0,True,3,10,0.0002729075680758196,0.08555443590351035,0.2538999542593956
40,0.25,1.3076923076923077,continuation,True,3,9,3.481539215887954e-05,0.0855578304710763,0.24289998691529036
40,0.25,1.5846153846153845,cold_q0,True,3,11,0.00033781145583963235,0.08537497209410581,0.24770002346485853
40,0.25,1.5846153846153845,continuation,True,3,10,3.530875674675854e-05,0.08537819152508073,0.2514999359846115
40,0.25,1.8615384615384616,cold_q0,True,3,11,0.000405069129060106,0.0851953816533334,0.2400000812485814
40,0.25,1.8615384615384616,continuation,True,3,11,3.5901264004052297e-05,0.08519843192216241,0.2463000128045678
40,0.25,2.138461538461539,cold_q0,True,3,11,0.0004745143325137475,0.0850156640691503,0.3714000340551138
40,0.25,2.138461538461539,continuation,True,3,11,3.654721577075665e-05,0.08501855140242892,0.2487000310793519
40,0.25,2.4153846153846157,cold_q0,True,4,14,6.606635892536383e-06,0.08483850331976227,0.34849997609853745
40,0.25,2.4153846153846157,continuation,True,3,11,3.7776497132891316e-05,0.08483854886056029,0.26560004334896803
40,0.25,2.6923076923076925,cold_q0,True,4,15,6.677752174911894e-06,0.08465838206737285,0.35530002787709236
40,0.25,2.6923076923076925,continuation,True,3,12,3.907851174186015e-05,0.08465842345309836,0.2886999864131212
40,0.25,2.9692307692307693,cold_q0,True,4,15,9.405196952831244e-06,0.08447813680304524,0.3703000256791711
40,0.25,2.9692307692307693,continuation,True,3,12,4.0494307668343495e-05,0.08447817432689572,0.31340005807578564
40,0.25,3.2461538461538466,cold_q0,True,4,16,1.3856298175746364e-05,0.08429776687791789,0.6568999961018562
40,0.25,3.2461538461538466,continuation,True,3,13,4.203674549975486e-05,0.08429780061940126,0.5137000698596239
40,0.25,3.5230769230769234,cold_q0,True,4,17,1.2828416694486509e-05,0.08411727099493317,0.5682000191882253
40,0.25,3.5230769230769234,continuation,True,4,16,1.5652918411475684e-06,0.08411728753485699,0.408399966545403
40,0.25,3.8000000000000003,cold_q0,True,4,18,1.2138105041090251e-05,0.08393664846379485,0.4249999765306711
40,0.25,3.8000000000000003,continuation,True,4,16,1.8147962145049578e-06,0.08393666360305875,0.3828000044450164
40,0.25,4.0769230769230775,cold_q0,True,4,19,1.2975070467242505e-05,0.08375589839785928,0.4160999087616801
40,0.25,4.0769230769230775,continuation,True,4,16,2.1005121047683642e-06,0.08375591221553232,0.3816999960690737
40,0.25,4.353846153846154,cold_q0,True,5,22,7.26216376437323e-06,0.0835750322919521,0.5129000637680292
40,0.25,4.353846153846154,continuation,True,4,17,2.430736653982011e-06,0.0835750324653822,0.6126000080257654
40,0.25,4.630769230769231,cold_q0,True,5,23,8.043731355031416e-06,0.08339402327856363,0.5320999771356583
40,0.25,4.630769230769231,continuation,True,4,19,2.8627853297866933e-06,0.0833940234275397,0.40850008372217417
40,0.25,4.907692307692308,cold_q0,True,5,25,1.0259615123782198e-05,0.08321288404855932,0.5311000859364867
40,0.25,4.907692307692308,continuation,True,4,19,3.3221567865895166e-06,0.08321288417252515,0.4040999338030815
40,0.25,5.184615384615385,cold_q0,True,5,25,1.4636170708623557e-05,0.08303161365763165,0.5067000165581703
40,0.25,5.184615384615385,continuation,True,4,19,3.866572779275552e-06,0.08303161375834123,0.367900007404387
40,0.25,5.461538461538462,cold_q0,True,5,27,2.017745885034379e-05,0.08285021115435737,0.5664000054821372
40,0.25,5.461538461538462,continuation,True,4,21,4.483654568874109e-06,0.08285021123171785,0.4107999848201871
40,0.25,5.7384615384615385,cold_q0,True,6,31,3.4321250596891275e-06,0.08266867561857616,0.5879999371245503
40,0.25,5.7384615384615385,continuation,True,4,22,5.2442863082691504e-06,0.08266867562809174,0.5993999075144529
40,0.25,6.015384615384616,cold_q0,True,6,34,5.012331939717466e-06,0.08248700597896153,0.5694999126717448
