n,pv_share,lam,warm,adaptive,conv,k_out,k_in,t_ms,v_min
120,0.1,1.8615384615384616,True,True,True,4,7,0.9517999133095145,0.9551306169752558
120,0.1,2.4153846153846157,False,False,True,3,15,1.5173000283539295,0.9370315911206557
120,0.1,2.4153846153846157,False,True,False,60,80,12.55069999024272,0.932605789221552
120,0.1,2.4153846153846157,True,False,True,3,11,1.1946000158786774,0.9370315567591073
120,0.1,2.4153846153846157,True,True,True,7,10,1.4095999067649245,0.9370309329186668
120,0.1,2.9692307692307693,False,False,True,4,24,2.6479000225663185,0.9182180415708026
120,0.1,2.9692307692307693,False,True,False,60,80,11.792099918238819,0.9108824082298919
120,0.1,2.9692307692307693,True,False,True,4,15,1.4587000478059053,0.9182180621653223
120,0.1,2.9692307692307693,True,True,True,7,10,1.3581999810412526,0.9182178845087028
120,0.1,3.5230769230769234,False,False,True,4,28,2.6337000308558345,0.8986020035645187
120,0.1,3.5230769230769234,False,True,False,60,75,11.333799920976162,0.8874017132898702
120,0.1,3.5230769230769234,True,False,True,4,17,1.7894000047817826,0.8986020940469926
120,0.1,3.5230769230769234,True,True,True,7,10,1.6441000625491142,0.898601371906266
120,0.1,4.0769230769230775,False,False,True,4,28,3.375799977220595,0.878072775811253
120,0.1,4.0769230769230775,False,True,True,5,5,0.9213999146595597,0.878132497776792
120,0.1,4.0769230769230775,True,False,True,4,18,1.9237999804317951,0.8780729466710206
120,0.1,4.0769230769230775,True,True,True,9,13,2.0161999855190516,0.8780733592504881
120,0.1,4.630769230769231,False,False,True,5,40,4.093399969860911,0.8564935040582496
120,0.1,4.630769230769231,False,True,True,6,6,1.4971999917179346,0.856553495272767
120,0.1,4.630769230769231,True,False,True,4,20,2.271300065331161,0.8564925680503802
120,0.1,4.630769230769231,True,True,True,9,13,1.9212000770494342,0.8564941010012751
120,0.1,5.184615384615385,False,False,True,5,40,3.9513999363407493,0.8336867515815382
120,0.1,5.184615384615385,False,True,True,6,6,1.1074000503867865,0.8337481791139317
120,0.1,5.184615384615385,True,False,True,5,22,2.3366999812424183,0.8336865101505517
120,0.1,5.184615384615385,True,True,True,11,16,2.3874000180512667,0.833686294684227
120,0.1,5.7384615384615385,False,False,True,5,45,4.225099924951792,0.8094209029200581
120,0.1,5.7384615384615385,False,True,True,7,7,1.255700015462935,0.8094829155847602
120,0.1,5.7384615384615385,True,False,True,5,24,2.4538999423384666,0.8094204239554624
120,0.1,5.7384615384615385,True,True,True,11,16,2.6808000402525067,0.8094193283676873
120,0.1,6.292307692307693,False,False,True,6,60,5.854599992744625,0.7833777453168829
120,0.1,6.292307692307693,False,True,True,7,7,1.350599923171103,0.7834428793407207
120,0.1,6.292307692307693,True,False,True,6,31,4.066199995577335,0.7833781173808518
120,0.1,6.292307692307693,True,True,True,13,19,3.647300065495074,0.7833785470536901
120,0.1,6.846153846153847,False,False,True,7,77,7.441699970513582,0.7551090363985224
120,0.1,6.846153846153847,False,True,True,8,8,1.470700022764504,0.755175138891716
120,0.1,6.846153846153847,True,False,True,6,37,4.268400021828711,0.7551086687055452
120,0.1,6.846153846153847,True,True,True,15,22,3.435899969190359,0.7551084231685057
120,0.1,7.4,False,False,True,8,96,9.949799976311624,0.723929453284149
120,0.1,7.4,False,True,True,9,9,2.1782000549137592,0.723998135724595
120,0.1,7.4,True,False,True,7,46,4.815399996004999,0.7239298195200615
120,0.1,7.4,True,True,True,17,25,3.6908999318256974,0.7239301729533649
120,0.1,7.953846153846155,False,False,True,9,126,12.064600014127791,0.6887156001940771
120,0.1,7.953846153846155,False,True,True,10,10,1.8614999717101455,0.6887857678128174
120,0.1,7.953846153846155,True,False,True,9,66,7.08510004915297,0.6887144960396038
120,0.1,7.953846153846155,True,True,True,19,28,4.233899991959333,0.6887140651193879
120,0.1,8.507692307692308,False,False,True,13,220,21.642899955622852,0.6473412058505442
120,0.1,8.507692307692308,False,True,True,12,12,2.2933000000193715,0.6474145080966662
120,0.1,8.507692307692308,True,False,True,12,104,10.464300052262843,0.6473404933415874
120,0.1,8.507692307692308,True,True,True,22,35,5.376600078307092,0.6473412006258311
120,0.1,9.061538461538461,False,False,True,36,787,77.04539992846549,0.5946981445128284
120,0.1,9.061538461538461,False,True,True,15,15,2.938500023446977,0.5947781117839845
120,0.1,9.061538461538461,True,False,True,27,314,31.115600024349988,0.5946984286896148
120,0.1,9.061538461538461,True,True,True,56,110,16.469100024551153,0.5946980940517238
120,0.1,9.615384615384615,False,False,False,60,8709,921.5790999587625,0.34727423248254047
120,0.1,9.615384615384615,False,True,True,23,23,4.632600001059473,0.5056530242101581
120,0.1,9.615384615384615,True,False,False,60,11602,1262.8155000275,0.45611457759439433
120,0.1,9.615384615384615,True,True,False,60,13572,1566.4924999000505,0.9942163626893042
120,0.25,0.2,False,False,True,3,9,1.5784000279381871,0.9999928830043316
120,0.25,0.2,False,True,True,3,5,0.8015000494197011,0.999992883004332
120,0.25,0.2,True,False,True,3,8,1.4581999275833368,0.9999928830043316
120,0.25,0.2,True,True,True,3,5,0.8898999076336622,0.9999928830043316
120,0.25,0.7538461538461538,False,False,True,3,12,1.7385000828653574,0.9893440455966617
120,0.25,0.7538461538461538,False,True,False,60,90,13.438599999062717,0.9895533743699689
120,0.25,0.7538461538461538,True,False,True,3,9,0.9694999316707253,0.9893440398663385
120,0.25,0.7538461538461538,True,True,True,3,6,1.3586999848484993,0.9893444329188399
120,0.25,1.3076923076923077,False,False,True,3,12,1.274899928830564,0.972455849509919
120,0.25,1.3076923076923077,False,True,False,60,90,13.632299960590899,0.9734093420225586
120,0.25,1.3076923076923077,True,False,True,3,10,1.4788999687880278,0.9724558151718653
120,0.25,1.3076923076923077,True,True,True,4,7,1.0237999958917499,0.9724557273174511
120,0.25,1.8615384615384616,False,False,True,3,15,1.5943999169394374,0.9549898337942465
120,0.25,1.8615384615384616,False,True,False,60,80,13.765100040473044,0.9526208569633768
120,0.25,1.8615384615384616,True,False,True,3,12,1.4189000939950347,0.9549898374280577
120,0.25,1.8615384615384616,True,True,True,5,7,1.168500049971044,0.9549891716410543
120,0.25,2.4153846153846157,False,False,True,4,20,2.0172999938949943,0.9368815962581928
120,0.25,2.4153846153846157,False,True,False,60,80,12.230099993757904,0.9323870343219439
120,0.25,2.4153846153846157,True,False,True,4,14,1.5740999951958656,0.9368816278927945
120,0.25,2.4153846153846157,True,True,True,7,10,1.4141000574454665,0.9368816016192872
120,0.25,2.9692307692307693,False,False,True,4,24,2.554600010626018,0.9180597074759935
120,0.25,2.9692307692307693,False,True,False,60,75,12.207600055262446,0.9106121945572949
120,0.25,2.9692307692307693,True,False,True,4,16,1.727700000628829,0.9180597711339888
120,0.25,2.9692307692307693,True,True,True,7,10,1.6917999600991607,0.9180596526662982
120,0.25,3.5230769230769234,False,False,True,4,28,2.835800056345761,0.8984333546190107
120,0.25,3.5230769230769234,False,True,False,60,75,12.434600037522614,0.887101808660365
120,0.25,3.5230769230769234,True,False,True,4,18,2.418200019747019,0.8984335681337737
120,0.25,3.5230769230769234,True,True,True,7,10,1.742199994623661,0.8984329851354192
120,0.25,4.0769230769230775,False,False,True,5,35,3.845099941827357,0.8778933616701963
120,0.25,4.0769230769230775,False,True,False,60,72,12.258299975655973,0.8615833192566434
120,0.25,4.0769230769230775,True,False,True,5,21,2.312099910341203,0.8778932917287289
120,0.25,4.0769230769230775,True,True,True,9,13,1.9440999021753669,0.8778935075499011
120,0.25,4.630769230769231,False,False,True,5,40,4.047499969601631,0.856300266215411
120,0.25,4.630769230769231,False,True,False,60,70,11.730200028978288,0.8337227795514643
120,0.25,4.630769230769231,True,False,True,5,25,2.693300019018352,0.8563001410477885
120,0.25,4.630769230769231,True,True,True,9,13,2.004200010560453,0.8563008164330006
120,0.25,5.184615384615385,False,False,True,5,40,3.948399913497269,0.8334778094897911
120,0.25,5.184615384615385,False,True,True,6,6,1.1059000389650464,0.8334903230260328
120,0.25,5.184615384615385,True,False,True,5,26,3.1079999171197414,0.8334773862684081
120,0.25,5.184615384615385,True,True,True,11,16,2.6008000131696463,0.8334769221207436
120,0.25,5.7384615384615385,False,False,True,6,54,5.512900068424642,0.8091914278681683
120,0.25,5.7384615384615385,False,True,True,7,7,1.296199974603951,0.809204709873577
120,0.25,5.7384615384615385,True,False,True,6,31,3.7719999672845006,0.8091916914058578
120,0.25,5.7384615384615385,True,True,True,13,19,2.778800087980926,0.8091917570965703
