n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min
350,7.676923076923077,1.0,1.547823266854434e-05,0.04158882054709645,True,28,14,27.237424538799168,0.38360190292557883,0.9998649988152475,0.530244009878091,0.38778648530448057,0.4645429216018079,0.2025482671549358,0.6879594166727646,171.90141221962827
350,7.953846153846155,1.0,1.547823266854434e-05,0.043089018482663055,True,31,15,29.862323458959164,0.41683866787456275,0.9998428710397937,0.5813204981106749,0.4219478518015925,0.5039670053199677,0.20985461747314996,0.6687870965608932,165.91645009205902
350,8.23076923076923,1.0,1.547823266854434e-05,0.04458921641822965,True,34,16,33.25631418533523,0.45533289663469767,0.9998122396262417,0.641082374451093,0.4613835405527187,0.549190757635213,0.21716096779136415,0.647843946271093,160.33421438802714
350,8.507692307692308,1.0,1.547823266854434e-05,0.04608941435379626,True,38,18,37.8513456787728,0.5005509412535726,0.99976827482436,0.7130599864175214,0.5081634570892528,0.6024448693938639,0.22446731810957807,0.6245251964393695,155.1153791999901
350,8.784615384615384,1.0,1.547823266854434e-05,0.04758961228936286,True,45,21,44.70804747814513,0.5562242459482966,0.9996924099477961,0.8036428368607818,0.5660037153045907,0.6677157929579736,0.23177366842779215,0.5977738978355553,150.2255774038433
350,9.061538461538461,1.0,1.547823266854434e-05,0.04908981022492947,True,56,25,56.7789121280774,0.6297753230036464,0.9995240964821388,0.9266612280212063,0.6428749854496201,0.7535100476877817,0.23908001874600632,0.5653892978185534,145.6346429500756
350,9.338461538461539,1.0,1.547823266854434e-05,0.05059000816049608,True,85,37,89.11024219162309,0.7445755838678693,0.9989861449208807,1.1258000439233977,0.7636774394309759,0.8862371208890311,0.24638636906422037,0.5207318566497379,141.31598796967793
350,9.615384615384615,1.0,1.547823266854434e-05,0.05209020609606268,False,500,500,,0.9996143874067059,0.0016340518039378304,0.31432641689629776,0.25369271938243465,0.31432641689629764,0.25369271938243465,,137.24608751615122
350,9.892307692307693,1.0,1.547823266854434e-05,0.05359040403162929,False,500,500,,1.0007287439172647,0.01699655365222197,0.3233790177029112,0.2609990697006488,0.32337901770291105,0.2609990697006488,,133.40405085162445
350,10.169230769230769,1.0,1.547823266854434e-05,0.05509060196719589,False,500,500,,1.000322846084934,0.004911085919485747,0.33243161850952435,0.26830542001886293,0.33243161850952435,0.26830542001886293,,129.77126278002197
